date,wait_times_hrs,nurse_count
2019-03-08 09:00:00,1.295826,7.0
2019-03-08 10:00:00,1.015278,7.0
2019-03-08 11:00:00,1.462664,7.0
2019-03-08 12:00:00,1.597253,7.0
2019-03-08 13:00:00,1.630296,7.0
2019-03-08 14:00:00,1.472665,7.0
2019-03-08 15:00:00,1.371548,7.0
2019-03-08 16:00:00,1.219902,7.0
2019-03-08 17:00:00,1.375681,7.0
2019-03-08 18:00:00,1.602439,7.0
2019-03-08 19:00:00,2.443666,3.0
2019-03-08 20:00:00,2.448155,3.0
2019-03-08 21:00:00,2.020720,3.0
2019-03-08 22:00:00,1.721268,3.0
2019-03-08 23:00:00,1.489987,3.0
2019-03-09 00:00:00,1.395093,1.0
2019-03-09 01:00:00,1.315080,1.0
2019-03-09 02:00:00,1.691297,1.0
2019-03-09 03:00:00,2.012701,1.0
2019-03-09 04:00:00,2.236912,1.0
2019-03-09 05:00:00,1.860398,1.0
2019-03-09 06:00:00,1.397606,1.0
2019-03-09 07:00:00,1.668098,1.0
2019-03-09 08:00:00,2.144591,1.0
2019-03-09 09:00:00,1.510948,5.0
2019-03-09 10:00:00,1.085818,5.0
2019-03-09 11:00:00,1.238301,5.0
2019-03-09 12:00:00,1.660296,5.0
2019-03-09 13:00:00,1.276555,5.0
2019-03-09 14:00:00,0.987444,5.0
2019-03-09 15:00:00,1.147865,5.0
2019-03-09 16:00:00,1.277081,5.0
2019-03-09 17:00:00,0.957546,5.0
2019-03-09 18:00:00,1.301892,5.0
2019-03-09 19:00:00,1.280033,5.0
2019-03-09 20:00:00,1.711819,3.0
2019-03-09 21:00:00,1.561004,3.0
2019-03-09 22:00:00,1.169505,5.0
2019-03-09 23:00:00,1.363758,3.0
2019-03-10 00:00:00,1.778681,3.0
2019-03-10 01:00:00,2.078988,3.0
2019-03-10 02:00:00,1.972133,3.0
2019-03-10 03:00:00,2.002267,3.0
2019-03-10 04:00:00,1.970623,3.0
2019-03-10 05:00:00,2.015140,3.0
2019-03-10 06:00:00,1.589435,3.0
2019-03-10 07:00:00,1.211038,3.0
2019-03-10 08:00:00,0.861520,3.0
2019-03-10 09:00:00,0.190557,7.0
2019-03-10 10:00:00,0.756846,7.0
2019-03-10 11:00:00,1.081632,7.0
2019-03-10 12:00:00,0.802831,7.0
2019-03-10 13:00:00,0.572779,7.0
2019-03-10 14:00:00,0.942950,7.0
2019-03-10 15:00:00,1.369869,7.0
2019-03-10 16:00:00,1.609254,7.0
2019-03-10 17:00:00,1.960101,7.0
2019-03-10 18:00:00,1.563562,7.0
2019-03-10 19:00:00,1.101526,7.0
2019-03-10 20:00:00,1.600607,5.0
2019-03-10 21:00:00,1.709139,5.0
2019-03-10 22:00:00,1.293120,5.0
2019-03-10 23:00:00,1.552522,3.0
